Timestamp,Timestamp,CATEGORY,PROJECT,TYPE,TARGET,OVERVIEW,DISCUSSION LINKS,OWNER,NOTES
1/21/2013 15:33:51,,COSMETIC,Anti-cavity hack,MICROBIOTIC,mouth,Hacked microbes introduced into oral microbiome to fight cavities.,,Director_X,http://articles.timesofindia.indiatimes.com/2012-09-17/science/33901548_1_tooth-decay-mutans-streptococci-new-vaccine
12/18/2012,12/18/2012,PERFORMANCE,Indefatigability/endurance,GENE,Find,causes lactic acid to be cleared from tissues,,,
12/18/2012,12/18/2012,PERFORMANCE,Strength related,GENE,ACTN3,Anaerobic gene doping,,,
12/18/2012,12/18/2012,PERFORMANCE,Strength related,GENE,ACE I,Anaerobic gene doping,,,
12/18/2012,12/18/2012,PERFORMANCE,Strength related,GENE,ACE D,Anaerobic gene doping,,,
12/18/2012,12/18/2012,PERFORMANCE,Strength related,GENE,Myosin II?,"Anaerobic gene doping, relevant?",,,
12/18/2012,12/18/2012,PERFORMANCE,Strength related,GENE,PPP1R14A,Anaerobic gene doping,,,
12/18/2012,12/18/2012,PERFORMANCE,Strength related,GENE,PEPCK-C,PEPCK-C over expression,,,
12/18/2012,12/18/2012,PERFORMANCE,Strength related,GENE,ACVR2B,ACVR2B knockout; myostatin inhibitor,,,
12/18/2012,12/18/2012,PERFORMANCE,Strength related,GENE,Grb10,"Anaerobic, mass related",,,
12/18/2012,12/18/2012,PERFORMANCE,Adrenaline release,IMPLANT,Adrenal glands,On demand adrenaline boost,,,
12/18/2012,12/18/2012,PERFORMANCE,Cardio related,GENE,repoxygen gene,Aerobic gene doping,,,
12/18/2012,12/18/2012,PERFORMANCE,Cardio related,GENE,RAB5A,Aerobic gene doping,,,
12/18/2012,12/18/2012,PERFORMANCE,Reflex enhancement,IMPLANT,Cerebellum,tDCS or TMS assisted motor function,,,
12/18/2012,12/18/2012,COSMETIC,Straight hair,GENE,P2RY5 (?),grow straight hair. Multi billion $/year industry in US,,,
12/18/2012,12/18/2012,COSMETIC,Any hair (baldness),GENE,EDA2R,Any DHT related gene is good. May also impact body hair.,,,
12/18/2012,12/18/2012,COSMETIC,Trimethylaminuria,GENE,FMO3,bioweapon,,,
12/18/2012,12/18/2012,COSMETIC,Skin lightening,GENE,SLC24AS,multi billion $/year industry in Asia.,,,
12/18/2012,12/18/2012,COSMETIC,Acne,BIOTIC,skin,Cure by hacking bacterium,,,
12/18/2012,12/18/2012,COSMETIC,Man boobs (gynecomastia),GENE,DXS255,"For men who want boobs (or the reverse), potential bioweapon",,,
12/18/2012,12/18/2012,COSMETIC,Custom sweat odor,BIOTIC,Sweat glands,Hack sweat gland bacteria to produce custom aromas.,http://discuss.biohack.me/discussion/323/modification-of-human-scent-glands#Item_7,Ekko Tracker,
12/18/2012,12/18/2012,COSMETIC,Obesity,GENE,TYK2,"Try to reverse obesity by taking brown adipose tissue, adding the gene for the ""constitutively active form of the transcription factor Stat3"" (CAStat3) to those brown fat cells, and reinject the transgenic cells back into the person. The cells should still carry the cell adhesion factors for other brown adipose tissue and put themselves away in the body.",,,http://www.sciencedirect.com/science/article/pii/S1550413112004585
12/18/2012,12/18/2012,SENSORY,Tetrachromacy,GENE,SWS1,See into ultraviolet spectrum,http://discuss.biohack.me/discussion/21/tetra-chromacy-mod#Item_38,Ian,
12/18/2012,12/18/2012,SENSORY,Night vision,GENE,RH1,"tapetum lucidum, making night vision better",,,
12/18/2012,12/18/2012,SENSORY,Super tasting,GENE,T2R38,improved sense of taste,,,
12/18/2012,12/18/2012,SENSORY,Vibrosensory,GENE,skin,"local use, increased sensitivity to vibrations in hair. Improved actuator sensitivity.",,,
12/18/2012,12/18/2012,SENSORY,Hyperosmia,GENE,OR11H7P,heightened sense of smell,,,
12/18/2012,12/18/2012,SENSORY,Subdermal bonephones,IMPLANT,skull,Bone conducting headphone implant,,,
12/18/2012,12/18/2012,SENSORY,Thermal sensing,GENE,skin,"local use, increased sensitivity to heat sources",,,
12/18/2012,12/18/2012,SENSORY,Radiation detection,IMPLANT,skin,implanted Geiger counter,,,
12/18/2012,12/18/2012,SENSORY,Remote thermal detection,DEVICE,worn,directional thermometer,,,
12/18/2012,12/18/2012,SENSORY,Active EMF detection,IMPLANT,skin,Active electromagnetic field detector,,,
12/18/2012,12/18/2012,CURATIVE,Alcohol addiction,GENE,"T2R38, others",Biotic variation also possible,,,
12/18/2012,12/18/2012,CURATIVE,Choroideremia,GENE,CHM,Eye condition,,,
12/18/2012,12/18/2012,CURATIVE,Virus immunity,GENE,CCR5,Immunity to all viruses,,,
1/21/2013,1/21/2013,CURATIVE,Autoimmune predisposition fix,GENE,HLA-B27,"A mutation which predisposes you to ankylosing spondylitis, congenital conjunctivitis, Graves' disease, and about 7 autoimmune disorders in all",,Rubix,
12/18/2012,12/18/2012,CURATIVE,Reduced rate of heart disease,GENE,PCSK5(9?),Those with the PCSK5 gene have 88 percent lower coronary disease.,,MB,
12/18/2012,12/18/2012,NOVEL FUNCTION,Vitamin C production,GENE,GULO,Body produces its own vitamin C,,Rubix,
12/18/2012,12/18/2012,NOVEL FUNCTION,Radiation metabolism,GENE,cell,Radiation causes modified cell to generate ATP,,Lucas,
12/18/2012,12/18/2012,NOVEL FUNCTION,Extreme bone density,GENE,LRP5,Improved bone density,,,
12/18/2012,12/18/2012,NOVEL FUNCTION,Bone density,TREATMENT,Bones,ultrasonic fracturing causes bones to heal into harder structures,,Director_X,
12/18/2012,12/18/2012,NOVEL FUNCTION,Lovetron9000,IMPLANT,Pubic area,Subdermal vibrator/adult toy implant,,Director_X,
12/18/2012,12/18/2012,NOVEL FUNCTION,Haptic feedback actuators,IMPLANT,"Torso, other",Wireless subdermals for use w/interchangeable sensors,,Director_X,
12/18/2012,12/18/2012,NOVEL FUNCTION,Subdermal bonephone,IMPLANT,Skull,Implanted bone conducting headphones,http://discuss.biohack.me/discussion/252/subdermal-bone-conduction-headphoness#Item_30,Saumanahaii,
12/18/2012,12/18/2012,NOVEL FUNCTION,GVS device,IMPLANT,Vestibular,"DC stim implant, corrects posture, galvanic vestibular stimulation",,Director_X,http://www.mtbs3d.com/phpBB/viewtopic.php?f=120&t=15403&sid=5d72556766acb5de15b8cf1f2b84129e
12/18/2012,12/18/2012,NOVEL FUNCTION,N2 protein hack,BIOTIC,"Bladder, other","Augment the genes for fixing nitrogen from N2. Turn those genes on when you are low on protein. We may need a carrier molecule for N2 so it moves through the blood. With these modifications you wouldn't need to eat protein per se, but you would still need sulfur in your diet, which we get from protein now in cystine and methionine",,Rubix,
12/18/2012,12/18/2012,NOVEL FUNCTION,Orgasmatron,IMPLANT,Spine,Completely subdermal spinal implant allowing orgasms on demand + WIRELESS,,Director_X,
12/18/2012,12/18/2012,NOVEL FUNCTION,Wi-Fi detector,IMPLANT,skin,Signal finder,,,
12/18/2012,12/18/2012,NOVEL FUNCTION,Metronome,DEVICE,Ear,hearing aid metronome,,Sovereign Bleak,
12/18/2012,12/18/2012,NOVEL FUNCTION,Voice changer,IMPLANT,throat,"Changes voice when activated, multiple settings",,Director_X,
12/18/2012,12/18/2012,NOVEL FUNCTION,Robotic bowel,IMPLANT,intestines,"Replace bowels with a machine that processes food, distributes contents",,Director_X,
12/18/2012,12/18/2012,NOVEL FUNCTION,Internal heating and cooling,IMPLANT,varies,Heats or cools blood on demand,http://discuss.biohack.me/discussion/comment/2032#Comment_2032,"Director_X, Harbison",http://www.youtube.com/watch?feature=player_embedded&v=fWvBeUgrknM
12/18/2012,12/18/2012,NOVEL FUNCTION,Bioelectrogenisis,GRAFT,skin,"Electricity generation like an eel. Grow cells and graft them onto skin, or tattoo stem cells?",,Director_X,
12/18/2012,12/18/2012,BRAIN,Deep brain stimulator,IMPLANT,"Brain, multiple","Leadless DBS device w/rf, multiple leads",,Director_X,
12/18/2012,12/18/2012,BRAIN,Transcranial magnetic stimulation,DEVICE,"Brain, multiple","God helmet, general probing",,Ian,
12/18/2012,12/18/2012,BRAIN,Implanted TMS,IMPLANT,"Brain, multiple","Magnetic subdermal implants, powered for TMS",,Director_X,
12/18/2012,12/18/2012,BRAIN,Improved myelin sheath,BIOTIC,Nerve,Improved myelin sheath on neurons,,,
12/18/2012,12/18/2012,DRUGS,PL-6983,CHEM,NERVE,Aphrodesiac. Also see PT-141,,Director_X,
12/18/2012,12/18/2012,DRUGS,C-16 PKR INHIBITOR,CHEM,NERVE,Nootropic,,Director_X,
12/18/2012,12/18/2012,TOOLS,Harmonic Scalpel,TOOL,Tissue,"Harmonic scalpel, instant hot/cold. Uses metamaterial from lab in Phili. Like UtahMed product",,Director_X,
12/18/2012,12/18/2012,TOOLS,Multielectrode Array,COMPONENT,Nerve,"MEA, equal or greater specs when compared to Utah Array",http://discuss.biohack.me/discussion/317/multielectrode-array-mea-quest#Item_6,Director_X,
12/18/2012,12/18/2012,TOOLS,Skin scaffolding,TOOL,Skin,"custom printing of skin extracellular matrix (ECM). Would enable printing the ECM for ears, extra skin flaps, etc to then be seeded with dermal stem cells and grafted on.",,Director_X,
1/21/2013 14:04:00,1/21/2013 14:04:00,CURATIVE,Lactose Tolerance,GENE,C/T(-13910),"Also known as ""C/T(-13910)"", and located in the MCM6 gene but with influence on the lactase LCT gene, rs4988235 is one of two SNPs that is associated with the primary haplotype associated with hypolactasia, more commonly known as lactose intolerance in European Caucasian populations. [PMID 11788828], [PMID 15114531] In these populations, the rs4988235(T) allele is both the more common allele and the one associated with lactase persistence; individuals who are rs4988235(C;C) are likely to be lactose intolerant. In populations of sub-Saharan Africans, though, the rs4988235(T) allele is so rare that it's unlikely to be predictive of lactase persistence, and other SNPs are predictive instead. [PMID 15106124, PMID 17159977] http://snpedia.com/index.php/Rs4988235 ",,MB,
1/22/2013 13:38:11,,TOOL,Electroporation Device,TOOL,GENES,a device to introduce foreign DNA into a given cell. Required for in vitro genetic engineering projects.,,Ian,http://en.wikipedia.org/wiki/Electroporation
1/22/2013 13:41:33,,NOVEL FUNCTION,"""Aura"" Electric Field Window",IMPLANT,NERVES,"a flexible grid of EEG style sensors on the bottom and corresponding LEDs on the top. Would enable direct visualization of surface brain activity as well as muscle actuation. Equipped with data logging, phone app, and API. Develop and market as a general purpose tool.",,Rubix,
1/22/2013 13:45:20,,CURATIVE,C60 Life Extension,NANO,CELLS,C60 buckyballs found to double lifespan of rats.,,Tim,
1/22/2013 13:47:26,,SENSORY,Audible EMF earpiece,DEVICE,EAR,Detect alternating electro-magnetic fields and convert it to audio which is sent to a blue-tooth earpiece.,,Rubix,
1/22/2013 13:49:07,,SENSORY,Expanded Audible Range,DEVICE,EAR,Use noise canceling headphones. Then also send the audio with a skewed spectrum.,,,
1/22/2013 13:52:08,,NOVEL FUNCTION,Interconvert Glucose and electricity,DEVICE,BLOOD,Use Geobacter driven microbial fuel cells. Would allow you to power implants. Also you'd be able to plug yourself into a power source and convert electricity to blood sugar.,,Lovely,
1/22/2013 13:57:34,,SENSORY,Panoramic megavision,DEVICE,EYES,"use a virtual reality head-set equipped with a radial set of cameras that can see 360 horizontally. The image is then rendered to the user as a 360 composite which is squashed to fit the users field of view (or the headset's screen). To avoid unnecessary stitching computation, work out how to cut and stretch the component frames ahead of time. The headset should come with a realign function if the cameras get moved. Your brain should be able to adjust to seeing in 360. Another mod on this is to have the visual input come from cameras on your car, so you can see in 360 of the road around you. You can also hook alternate spectrums into the headset like UV, IR, or thermal. You could even collect IR to UV and contract the spectrum to the visible one.",,Rubix,
1/22/2013 14:00:25,,NOVEL FUNCTION,Human Chloroplast transplant,GENE,SKIN,"Inject whole chloroplasts into subcutaneous cells. Make sure the metabolic needs of the cell and the chloroplast are compatible. We can do this in cells in culture first. Copy the methods for somatic cell nuclear transfer, but transplant a chloroplast or two. Also make sure the signals for chloroplasts to self-replicate is intact. Do plants use allotopic expression for chloroplasts? - Are some genes for the chloroplasts actually stored in the plant cell's nucleus?",,Lucas,
1/22/2013 14:02:43,,NOVEL FUNCTION,Subvocal speech,IMPLANT,VOICE,electrodes placed subdermally on the motor points of the voice box. Can discern what the person is trying to say by only mouthing the words. The data can be sent to a phone to be transmitted from there. NASA has done work on this.,,Grindhouse,http://www.nasa.gov/home/hqnews/2004/mar/HQ_04093_subvocal_speech.html
1/22/2013 14:15:44,,NOVEL FUNCTION,Improved transdermal materials,BIOMATERIAL,TRANSDERMALS,"if you line a transdermal device with a collar of protein that skin cells will attach to, then the connection between skin and device should be as strong as normal skin. You would be able to yank on the juncture. Collagen has been suggested, but there are a multitude of extracellular matrix proteins and cell adhesion molecules up for consideration. Establishing a good transdermal material that will stay attached to the device is a prerequisite for the “requires transdermal components” section. I suggest first testing proteins like collagen and others by implanting something small sideways through a slit in the skin (instead of a window). That way, if there’s a problem, the implant can be removed and the skin can heal.
-how do scientists get skin cells to adhere to glass? what proteins or cell adhesion molecules do they coat the glass with? How do they keep the protein attached?
-try coating a small chip of plexiglass with a collar of this protein and test implant a person with it. If it works, the skin should attach and you should be able to pull on it with the same strength as normal skin.",,Rubix,
1/22/2013 14:22:40,,NOVEL FUNCTION,Sub-vocal EEG to speech,DEVICE,NERVES,"using EEG, recognize what words the user is thinking and turn that into text.",,ALS,
1/22/2013 14:25:22,,CURATIVE,Super vitamin hack,MICROBIOTIC,GUT E COLI,Hacked gut E. coli produce essential micronutrients,,MB,
1/22/2013 16:13:00,,COSMETIC,Savory semen,MICROBIOTIC,SEMEN,"Baby, this is a gene therapy that causes semen to sweeten like hot syrup. A gene mod to the Cowper’s gland that makes your semen contain a ton more fructose than normal. Perhaps also add other minor flavorings to round out the taste.",,,this project needs verification and testers
1/23/2013 9:16:05,,COSMETIC,Glowing eyes of doom,GENE,EYES,"Your eyes glow when you're pissed. Activate luciferase proteins on the front of the iris when cortisol levels rise. Cortisol may not be the best choice, that one spikes during stressful interviews too. When you do the gene therapy, cut the cornea open and apply virus directly to iris but in such a way that it only brushes the top-most radial fibers.",,Rubix,http://tvtropes.org/pmwiki/pmwiki.php/Main/GlowingEyesOfDoom
1/26/2013 17:45:29,,CURATIVE,Stomach flu resistance,GENE,FUT2,stomach flu resistance,,,
1/26/2013 17:49:51,,PERFORMANCE,Gene doping,GENE,PPAR-delta,slow twitch plus fat metabolism,,,
2/4/2013 11:57:26,,NOVEL FUNCTION,Sleep optional,TREATMENT,BRAIN,Find a cure for sleep; become a 24 hr person.,,Rubix,
2/4/2013 11:59:06,,COSMETIC,Smart sweat,MICROBIOTIC,Sweat Glands,make sweat glands dynamically shut off when past a certain humidity and cold nerves aren't being stimulated. (So you don't sweat under your clothes),,Rubix,
2/4/2013 13:03:31,,NOVEL FUNCTION,Ambient heat to ATP,GENE,N/A,"A way to convert ambient heat to ATP. Only turn this on when we're too hot, the same pathway as sweating (or its parent regulator). You may be able to do this by absorbing heat in an endothermic reaction that then drops the energy into ATP. It has to be a drop so that ATP doesn't power the reaction in reverse. The compound needs to be a product favored in high heat where the reactants are favored in low heat. The high heat compound will be higher energy, then just supply the enzyme to couple ATP production and return the compound to its low heat form. I need to do some energetics simulations on this. It may be impossible.",,Rubix,
2/4/2013 13:07:56,,NOVEL FUNCTION,Reabsorption of the Endometrial Lining ,MICROBIOTIC,Ovaries,will eliminate periods but not interfere with fertility.,,Toviah Outis,
2/4/2013 13:09:21,,COSMETIC,Infinite teeth,GENE,Teeth,"when you lose a tooth, your body makes a new one to replace it.",,Rubix,
2/4/2013 13:15:52,,CURATIVE,Turritopsis nutricula + Regeneration,GENE,GENES,As the immortal jellyfish does. Longevity.,,Helio Jimenez Archundia,
2/4/2013 13:16:37,,COSMETIC,Taught skin,IMPLANT,SKIN,"upregulate missing connective tissue proteins.
",,,
2/4/2013 13:20:04,,CURATIVE,Limb regeneration,GENE,Limbs,Who rules barter town? Master Blastema rules barter town!,,,
2/4/2013 13:22:12,,CURATIVE,Auto Detox,MICROBIOTIC,Toxins,research other compounds that bioaccumulate which also have toxic effects.,,Rubix,
2/4/2013 13:25:26,,NOVEL FUNCTION,Synesthesia on demand,DEVICE,Any sense,"Create goggles, spectrometer, robot nose, various sensors, and headphones to experiment with various levels of synesthesia.",,Director_X,
2/4/2013 13:26:58,,BRAIN,Optimized Axon,GENE,NERVES,to use less energy and have greater fidelity. Phase in a bundle of geopilin fibers down the axon and phase out the ion channels on the axon. Essentially short circuit the base of the axon and the synapse with a conductive fiber. Rate and spike coding should still work but reaction time and fidelity would improve. Total calorie requirement would decrease for the whole person. (The brain uses 25% of your total energy expenditure).,,Rubix,
2/4/2013 13:31:49,,NOVEL FUNCTION,Audio data upload,DEVICE,EAR,Allow digital data to be recieved by the brain through audio signals. Audible data would have a fingerprint that would direct it to a part of the brain which can interpret this data protocol.,,,
2/4/2013 13:33:18,,BRAIN,Eidetic memory,TREATMENT,BRAIN,Eidetic memory,,Erik Daniel Andreas Sandvik,
2/4/2013 13:36:36,,SENSORY,Pher-aware,DEVICE,olfactory,Would allow us to consciously discern pheromones.,,"Toviah Outis, Rubix",http://chemse.oxfordjournals.org/content/26/4/433.full
2/4/2013 13:38:55,,NOVEL FUNCTION,Improved Ethics,CHEMICAL,Feels,"expand who we consider our own group, and deminish who we consider outsiders. That should enhance empathy, compassion, and collaboration, and deminish war and slavery/trafficing. ""Ethics though, they're basically just a set of rules enforced by the community. They way to strengthen these might be stronger bonding, whether via more subtle hormones/pheromones or emotional conditioni g. The trick would be to make this universal and avoid pack behaviour, not letting it become it us vs them."" - Erik Daniel Andreas Sandviks",,Rubix,
2/4/2013 13:40:03,,NOVEL FUNCTION,Ethical abandonment,CHEMICAL,Feels,The opposite of the improved ethics project proposed by Rubix,,Director_X,
2/4/2013 13:42:56,,NOVEL FUNCTION,Wings,?,wings,Wings,,MB,
2/4/2013 13:48:18,,PERFORMANCE,Retractable claws,GENE,fingers,Retractable claws for climbing,,,
2/4/2013 13:50:00,,PERFORMANCE,Pulmo-circulatory efficiency,TREATMENT,circulatory,"the body already makes the pulmo-circulatory system more efficient when you workout, but fool the body into doing this without working out.",,,
2/4/2013 13:51:02,,NOVEL FUNCTION,Nictitating membrane,IMPLANT,Eyes,Second eyelid to protect the eye from dust.,,Anders Arson,
2/4/2013 13:52:32,,PERFORMANCE,Reduced motor neuron noise,GENE,muscle,Less noise in our motor neurons so we could move more precisely,,Rubix,
2/4/2013 13:53:40,,NOVEL FUNCTION,Gills,IMPLANT,respiratory,Because drowning sucks.,,,
2/4/2013 13:55:22,,PERFORMANCE,Digigrade leg,IMPLANT,leg,Extra joint in the leg to allow for higher jumping/falling and faster running,,,
2/4/2013 13:56:53,,NOVEL FUNCTION,Carbon Fiber Bones,GENE,Bones,"Using carbon fiber instead of calcium phosphate for lighter, stronger bone structure. Would need to reengineer osteoblasts and osteoclasts. Need enzymes and regulatory pathways for building up and breaking down carbon fiber, while breaking down traditional calcium phosphate.",,Avatar,
2/4/2013 13:59:35,,CURATIVE,Lipofuscin excretion,GENE,Liver,"Instead of adding a menagerie of enzymes to lysosomes to digest lipofuscin, flag spent lysosomes to be exocytosed into the blood. Have the liver endocytose these spent lysosomes and excrete them through the bile duct. Ensure that these lysosomes don't get reaborbed through the gut. This only has to be designed once, whereas Aubrey de Grey's approach of adding enzymes is an iterative process that will never end.",,Rubix via SENS,
2/4/2013 14:00:53,,CURATIVE,Hormone regulator,IMPLANT,Hormones,An implant that monitors hormone levels and administers correcting hormones (like a pool chlorinator).,,Olivia Web,
2/4/2013 14:02:02,,CURATIVE,BPA fix,MICROBIOTIC,BPA,Detoxify or chelate BPA in the body,,Rubix,
2/4/2013 14:02:42,,CURATIVE,DDT fix,MICROBIOTIC,DDT,Detoxify or chelate DDT in fat,,Rubix,
2/4/2013 14:04:44,,NOVEL FUNCTION,Blood monitor,IMPLANT,Blood,"Periodically monitors levels of an array of telling indicators in the blood. Cytokines (CRP, IL-6, TNF), hormones, glucose, other indicators that are informative on the status of a person's body. The goal is to have more information on the silent battle going on inside you. This data could be utilized to find the causes of assaults on our health. The quality should be of a grade that official researchers would approve of. An idea for the detection method. Some tests can likely be done through near infrared spectroscopy on blood syrum (behind a sterile filter envelope). A second method is to join antibodies to electronics. A third is to use a cell with G-proteins that is then coupled to electronics.",,Rubix,
2/4/2013 14:06:01,,COSMETIC,Carbon Fixation,TREATMENT,,Employ the carbon fixation pathway of plants,,Brandon King,
2/4/2013 14:09:28,,NOVEL FUNCTION,Urea hack,MICROBIOTIC,Urea,"When we're low on energy, not only burn off protein, but burn urea down to nitrogen gas. It takes bacteria 16 ATP to fix nitrogen, so organic nitrogen is high in energy.",,Rubix,
2/4/2013 14:11:25,,CURATIVE,Anti-gout,GENE,?,so that we don't build up uric acid and get gout. Other animals have the functional version of this gene.,,,
2/4/2013 14:13:13,,CURATIVE,P53,GENE,P53,"As the ""guardian of the genome"", p53 is missing in many cancers, and has been investigated as a gene therapy option for cancer. Introducing a separate copy, or copies of the gene from the wild-type could reduce the incidence of knockout mutations that normally lead to cancer.",,MB,
2/4/2013 19:59:08,,NOVEL FUNCTION,Nasa Biocapsule,IMPLANT,SKIN,"I'm starting to think this is a bullshit invention. Maybe someone else can get it to work for me? If so, it has soooo many uses, mwahaha!",,Director_X,http://gizmodo.com/5882725/the-miraculous-nasa-breakthrough-that-could-save-millions-of-lives
2/5/2013 8:23:58,,TOOL,Open source gene sequencer,TOOL,N/A,Create an open source sequencer,,anon,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
